2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,HGT,WGT,POS
6.4,.527,3.5,.351,3.0,.753,4.4,3.5,0.8,0.5,2.1,190,94,PG
8.3,.479,2.5,.329,3.0,.726,3.0,3.1,1.8,0.1,0,188,85,PG
2.0,.491,0.8,.333,0.7,.771,2.6,0.6,0.5,0.0,0.6,198,103,PG
5.1,.426,3.7,.338,3.2,.668,4.0,5.0,1.6,0.1,3.3,175,87,C
8.4,.575,0.0,0,2.8,.708,7.0,0.9,0.8,1.1,1.3,206,103,PF
3.8,.537,0.0,0,2.9,.559,4.3,0.5,0.3,0.8,0.9,213,115,C
7.3,.394,4.6,.370,3.5,.792,3.5,3.8,1.5,0.1,2.2,183,88,PF
9.3,.485,2.9,.406,3.2,.753,6.1,2.4,1.7,0.5,2.5,203,102,SF
3.3,.508,2.4,.293,1.5,.600,4.0,0.7,0.6,0.3,1.3,206,97,PF
7.2,.478,3.1,.371,4.7,.742,6.5,1.7,1.5,0.4,2.2,198,102,SF
1.0,.529,0.0,0,1.2,.508,1.5,0.1,0.2,0.3,0.3,203,95,SF
9.0,.570,0.1,0,5.3,.565,6.4,0.7,0.4,1.7,2.0,208,112,C
2.2,.480,4.4,.369,2.0,.647,3.0,1.5,0.5,0.3,0,196,86,SF
8.1,.484,1.6,.313,4.9,.692,6.2,0.8,0.9,0.5,1.7,203,89,SF
5.1,.440,3.2,.379,4.2,.889,3.5,5.6,1.5,0.1,1.9,185,86,PG
5.2,.617,0.0,0,3.4,.437,6.0,0.4,0.2,1.3,1.6,211,113,C
5.4,.429,3.5,.413,2.0,.699,3.6,3.0,1.0,0.3,1.5,190,83,PG
5.1,.580,1.9,.369,2.7,.763,4.6,1.3,0.5,1.1,0.8,213,109,PF
6.1,.526,5.1,.383,3.9,.867,4.3,2.0,0.9,0.3,1.2,196,81,SG
6.9,.535,1.3,.255,4.8,.745,7.4,1.9,1.0,0.9,2.2,201,105,SF
5.6,.501,6.4,.347,3.8,.780,4.3,2.0,1.2,0.2,1.7,193,95,SG
3.5,.519,3.7,.320,2.2,.779,4.8,1.1,0.4,1.6,1.1,213,106,PF
2.9,.515,6.4,.453,2.7,.891,5.2,2.3,1.3,0.5,1.8,201,95,SG
10.1,.535,1.7,.349,2.7,.680,6.7,0.5,0.4,1.8,1.5,213,120,C
5.9,.567,1.8,.302,2.8,.633,5.5,1.5,0.3,0.4,1.6,206,86,PF
6.6,.573,4.5,.348,2.4,.806,4.7,1.7,1.0,0.6,1.6,196,81,SG
4.6,.491,4.0,.375,2.7,.808,3.2,3.6,1.8,0.1,2.1,180,79,PG
4.3,.494,3.5,.375,1.8,.691,2.5,1.8,0.9,0.2,1.1,196,81,SG
3.8,.530,3.9,.362,2.6,.759,4.8,1.1,0.9,0.8,1.4,206,92,SF
9.2,.644,1.7,.466,3.0,.679,8.2,2.4,0.6,1.1,1.5,208,102,PF
8.8,.498,4.8,.401,3.7,.817,5.2,2.2,1.9,0.6,2.5,196,90,SG
6.1,.500,5.7,.362,4.6,.843,4.8,2.0,1.1,0.2,1.7,198,90,SG
6.8,.548,0.2,.111,3.3,.663,7.0,0.8,0.2,2.1,1.6,216,102,C
9.7,.497,2.3,.250,3.7,.744,10.2,2.2,1.4,0.6,2.2,201,102,SF
5.2,.585,0.2,.083,2.2,.729,4.7,0.7,0.3,1.1,1.4,216,111,C
6.5,.521,2.2,.368,2.7,.723,4.5,1.1,0.4,0.7,1.2,208,103,PF
4.9,.456,3.2,.401,2.6,.770,3.5,2.7,0.9,0.2,1.3,201,90,SF
2.9,.455,1.9,.332,2.0,.643,3.0,2.1,0.9,0.5,1.5,198,95,SG
6.5,.497,6.1,.390,5.8,.867,4.3,3.5,1.2,0.2,2.4,188,83,PG
6.3,.547,2.8,.333,4.3,.733,4.3,3.5,2.0,0.6,2.9,188,90,PG
7.4,.481,1.5,.415,4.1,.626,9.2,1.4,1.3,0.9,1.3,206,99,C
12.3,.491,0.4,.143,4.9,.764,7.1,1.1,0.5,1.9,2.1,213,117,C
6.9,.511,0.0,.500,3.1,.612,5.6,0.8,0.3,2.3,1.6,213,115,C
8.3,.611,2.1,.354,6.6,.767,10.6,1.9,0.7,1.4,2.0,208,117,C
6.4,.463,0.7,.325,4.0,.737,3.8,3.0,1.9,0.2,1.9,183,79,PG
4.8,.531,3.5,.400,2.9,.809,7.4,1.6,1.1,1.6,1.5,203,92,PF
5.9,.536,0.8,.138,2.8,.735,5.2,1.1,0.5,0.4,1.1,208,106,PF
5.8,.480,5.6,.357,3.4,.755,4.2,3.3,1.1,0.1,2.2,190,97,PG
5.8,.545,4.4,.423,4.4,.835,7.2,0.9,0.4,0.5,1.1,213,104,PF
8.0,.541,2.0,.308,4.5,.689,6.9,1.4,1.0,0.7,2.2,208,107,PF
6.2,.471,3.0,.420,4.4,.761,3.4,4.0,1.1,0.1,1.9,180,83,PG
3.6,.506,0.0,0,1.9,.599,4.8,0.5,0.5,1.3,0.9,208,99,C
6.8,.480,2.3,.341,5.4,.799,4.9,2.1,1.2,0.3,2.2,196,99,SF
9.6,.451,0.1,0,4.9,.569,5.9,1.0,1.2,0.5,1.6,206,104,PF
4.3,.527,5.2,.367,2.5,.753,4.2,3.3,2.0,0.4,1.9,198,81,SG
10.5,.470,5.2,.377,6.7,.825,6.3,2.7,2.1,0.5,2.4,190,81,SG
5.5,.542,2.6,.380,1.7,.749,3.9,5.4,2.3,0.2,2.0,185,88,PG
6.1,.523,3.3,.342,3.5,.738,6.2,0.9,0.5,0.4,1.9,203,99,SF
7.0,.473,0.1,1.000,4.4,.563,6.9,1.1,1.7,2.1,2.2,208,99,PF
10.2,.587,4.1,.458,4.9,.831,7.5,1.3,0.2,0.1,2.2,203,102,SF
5.9,.563,0.7,.356,2.7,.514,4.8,0.3,0.5,1.8,1.6,213,107,C
5.7,.498,3.7,.381,2.5,.759,4.8,1.4,0.9,0.3,1.3,193,92,SG
3.3,.509,2.6,.363,2.0,.740,3.4,1.6,0.6,0.1,1.3,196,99,SG
4.8,.532,0.8,0,2.0,.622,5.2,0.2,0.5,0.5,1.3,203,97,SF
6.1,.553,4.7,.420,3.7,.870,5.2,2.0,1.0,0.7,2.1,196,88,SG
7.0,.559,0.5,.278,3.8,.664,6.5,2.4,1.2,1.9,1.9,208,108,PF
5.2,.491,5.7,.386,4.1,.890,3.0,1.6,1.1,0.1,1.8,196,94,SG
10.6,.527,0.2,.071,4.3,.669,8.8,1.2,0.8,3.4,2.8,203,106,PF
5.8,.494,3.3,.321,3.1,.768,4.6,2.0,1.0,0.2,2.0,201,98,SF
3.5,.509,3.0,.379,1.5,.815,3.2,1.8,0.8,0.7,1.4,203,102,SF
4.1,.491,2.5,.370,2.8,.765,4.8,1.5,0.8,1.3,1.6,201,95,SF
12.2,.580,0.2,.375,6.8,.620,12.7,0.9,1.3,2.0,2.4,203,111,PF
5.2,.497,4.6,.329,2.5,.788,4.1,2.2,1.5,0.3,1.3,190,95,SG
7.8,.497,6.9,.397,4.7,.822,2.5,2.3,0.9,0.5,2.0,190,90,SG
9.3,.558,0.5,.273,5.5,.677,8.2,3.2,1.5,1.5,2.9,211,112,C
6.3,.541,0.0,0,3.3,.663,5.8,1.8,0.8,0.9,1.4,203,92,PF
8.1,.473,4.6,.380,3.3,.729,4.4,2.9,1.2,0.4,2.1,193,86,SG
4.7,.546,0.3,0,3.3,.531,8.6,1.3,0.8,2.1,1.8,208,98,PF
7.3,.585,1.1,.358,4.3,.660,6.2,1.3,0.9,0.4,1.6,206,106,PF
4.8,.579,0.9,.404,2.9,.653,6.1,1.2,0.6,0.9,1.6,208,111,PF
6.7,.517,2.9,.381,2.6,.780,3.7,5.5,1.6,0.3,1.2,188,77,PG
8.6,.535,0.5,.240,3.9,.654,6.4,1.3,0.4,1.2,2.0,206,104,PF
10.9,.463,3.3,.377,5.6,.711,5.2,0.8,0.7,0.1,1.6,198,102,SF
8.1,.448,6.4,.335,4.9,.710,3.4,2.2,1.1,0.4,2.7,188,81,SG
10.8,.457,3.5,.288,4.9,.663,6.0,4.4,1.8,0.3,3.2,196,77,PG
7.3,.502,7.7,.408,4.2,.783,5.2,2.2,1.0,0.3,2.3,196,93,PG
10.3,.510,0.5,.313,5.2,.819,8.2,1.6,0.4,2.0,1.6,211,106,C
5.9,.443,3.6,.305,2.5,.731,4.3,1.1,0.8,0.6,2.3,198,104,SF
0,0,0,0,3.2,.628,6.7,1.5,0.9,0.9,1.9,208,92,C
5.3,.444,4.8,.375,4.4,.813,4.0,4.5,1.8,0.2,2.4,185,81,PG
8.7,.553,3.6,.375,3.2,.763,5.2,3.1,0.7,0.5,2.3,203,104,PF
